stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
STATION_M118,STATION ANGRIGNON,45.446466,-73.603118,1,
43,Station Angrignon,45.446466,-73.603118,0,STATION_M118
Jan-43,Station Angrignon,45.446319,-73.603835,2,STATION_M118
STATION_M120,STATION MONK,45.451158,-73.593242,1,
42,Station Monk,45.451158,-73.593242,0,STATION_M120
Jan-42,Station Monk - Édicule Nord (B),45.451307,-73.593128,2,STATION_M120
Feb-42,Station Monk - Édicule Sud (A),45.451007,-73.59338,2,STATION_M120
STATION_M122,STATION JOLICOEUR,45.45701,-73.581691,1,
41,Station Jolicoeur,45.45701,-73.581691,0,STATION_M122
Jan-41,Station Jolicoeur,45.456787,-73.582115,2,STATION_M122
STATION_M124,STATION VERDUN,45.459441,-73.572021,1,
40,Station Verdun,45.459441,-73.572021,0,STATION_M124
Jan-40,Station Verdun - Édicule Nord (A),45.459222,-73.571833,2,STATION_M124
Feb-40,Station Verdun - Édicule Sud (B),45.459163,-73.571521,2,STATION_M124
STATION_M126,STATION DE L'ÉGLISE,45.461894,-73.567074,1,
39,Station De l'Église,45.461894,-73.567074,0,STATION_M126
Jan-39,Station De l'Église - Édicule Wellington (A),45.461818,-73.567216,2,STATION_M126
Feb-39,Station De l'Église (B),45.462823,-73.565795,2,STATION_M126
STATION_M128,STATION LASALLE,45.471063,-73.566267,1,
38,Station LaSalle,45.471063,-73.566267,0,STATION_M128
Jan-38,Station LaSalle,45.470736,-73.566135,2,STATION_M128
STATION_M130,STATION CHARLEVOIX,45.478465,-73.569336,1,
37,Station Charlevoix,45.478465,-73.569336,0,STATION_M130
Jan-37,Station Charlevoix,45.478318,-73.569349,2,STATION_M130
STATION_M132,STATION LIONEL-GROULX,45.482509,-73.58018,1,
36,Station Lionel-Groulx,45.482509,-73.58018,0,STATION_M132
Jan-36,Station Lionel-Groulx,45.482878,-73.579601,2,STATION_M132
STATION_M134,STATION ATWATER,45.490068,-73.585812,1,
35,Station Atwater,45.490068,-73.585812,0,STATION_M134
Jan-35,Station Atwater - Édicule De Maisonneuve (A),45.48977,-73.58629,2,STATION_M134
Feb-35,Station Atwater - Édicule Ste-Catherine (B),45.489345,-73.584202,2,STATION_M134
STATION_M136,STATION GUY-CONCORDIA,45.49557,-73.57931,1,
34,Station Guy-Concordia,45.49557,-73.57931,0,STATION_M136
Jan-34,Station Guy-Concordia - Édicule Guy (B),45.495678,-73.579056,2,STATION_M136
Feb-34,Station Guy-Concordia - Édicule St-Mathieu (A),45.494521,-73.580755,2,STATION_M136
STATION_M138,STATION PEEL,45.500879,-73.574715,1,
33,Station Peel,45.500879,-73.574715,0,STATION_M138
Jan-33,Station Peel - Édicule Ouest (A),45.50089,-73.574971,2,STATION_M138
Feb-33,Station Peel - Édicule Metcalfe (C),45.501543,-73.574218,2,STATION_M138
Mar-33,Station Peel - Édicule Peel Est (D),45.501028,-73.574305,2,STATION_M138
Apr-33,Station Peel - Édicule Stanley (B),45.499937,-73.574713,2,STATION_M138
STATION_M140,STATION MCGILL,45.504064,-73.571586,1,
32,Station McGill,45.504064,-73.571586,0,STATION_M140
